,Track Displacement
1001,4.886
1051,4.371
922,3.075
996,2.598
1271,2.583
1432,2.569
1031,2.517
1669,2.413
1577,2.394
1066,2.255
984,2.225
1122,2.198
1753,2.173
1144,2.154
1496,2.112
1272,2.111
1704,2.048
1360,2.015
1775,1.992
1395,1.941
1725,1.925
1306,1.915
987,1.908
1235,1.873
1212,1.861
1393,1.804
1527,1.766
1041,1.76
1292,1.739
1322,1.705
1055,1.658
1679,1.642
1696,1.578
1606,1.574
1682,1.563
1716,1.548
1493,1.53
900,1.523
1380,1.518
1715,1.516
1619,1.51
1628,1.502
1511,1.499
959,1.498
1357,1.494
1368,1.494
1492,1.494
1621,1.481
1224,1.481
1691,1.47
1616,1.468
978,1.467
1745,1.467
1226,1.462
1062,1.436
964,1.435
1523,1.432
1233,1.431
1568,1.431
1617,1.421
1707,1.407
969,1.39
1565,1.39
937,1.39
1342,1.382
1479,1.375
1743,1.372
1338,1.37
1020,1.366
921,1.365
990,1.339
1275,1.337
954,1.337
1204,1.319
1324,1.312
960,1.306
1089,1.303
1289,1.302
1262,1.286
1688,1.267
1631,1.249
1054,1.241
979,1.236
951,1.219
1548,1.214
1734,1.209
1197,1.18
906,1.177
1185,1.175
1428,1.174
1566,1.171
1307,1.17
1237,1.165
1643,1.164
1774,1.162
1188,1.16
1420,1.16
1762,1.147
1300,1.142
1280,1.142
1645,1.141
1008,1.139
1109,1.132
1135,1.131
1744,1.128
1653,1.126
1210,1.121
1622,1.107
1514,1.101
1760,1.1
1561,1.098
1634,1.098
1614,1.096
1765,1.094
1533,1.092
1761,1.089
935,1.085
1699,1.084
1200,1.081
1633,1.078
1495,1.077
1454,1.076
1690,1.075
1750,1.074
1487,1.073
1387,1.071
1431,1.069
1506,1.066
1174,1.065
1482,1.062
1759,1.062
1345,1.061
1585,1.061
1168,1.06
1034,1.059
1674,1.059
1028,1.053
1069,1.049
1039,1.048
919,1.045
1560,1.044
1678,1.042
1335,1.035
1266,1.033
1583,1.032
1629,1.032
1328,1.028
1416,1.027
1354,1.02
1107,1.017
1782,1.017
1677,1.015
1011,1.014
1779,1.013
1264,1.01
1331,1.007
1657,1.003
1505,1.001
1375,1.001
981,0.997
1463,0.996
1371,0.994
1632,0.988
1768,0.981
1103,0.978
1329,0.974
1118,0.974
940,0.973
949,0.973
1611,0.972
1044,0.971
1397,0.964
1184,0.961
1182,0.956
1732,0.945
1098,0.944
1658,0.937
1587,0.934
1642,0.929
1726,0.929
1325,0.925
1178,0.924
1047,0.922
1547,0.918
1030,0.916
1406,0.911
1100,0.911
1598,0.91
1013,0.907
1451,0.905
1036,0.905
1064,0.896
950,0.893
1363,0.889
923,0.889
930,0.885
1241,0.877
1227,0.874
1207,0.86
1780,0.859
1597,0.859
1421,0.846
1733,0.846
956,0.84
1232,0.834
1027,0.822
1153,0.814
1145,0.791
1666,0.791
1476,0.79
1605,0.783
1199,0.78
1071,0.778
1160,0.775
1403,0.775
1249,0.774
1155,0.769
1083,0.768
1258,0.768
1545,0.767
1308,0.762
976,0.761
1516,0.761
898,0.759
1059,0.757
1488,0.756
1141,0.755
929,0.755
1539,0.753
1267,0.752
1781,0.751
1574,0.751
1217,0.751
899,0.75
1101,0.749
1415,0.748
1727,0.748
1534,0.746
1770,0.745
1309,0.745
1382,0.745
1700,0.743
1225,0.742
1528,0.738
1461,0.737
1458,0.737
1208,0.736
1143,0.736
1559,0.734
1573,0.734
1283,0.734
1712,0.731
1550,0.731
938,0.729
1618,0.729
1524,0.728
1703,0.727
1318,0.726
1662,0.724
1499,0.723
1090,0.723
1222,0.721
1636,0.721
1564,0.72
1543,0.719
1721,0.719
1610,0.714
1449,0.713
1402,0.712
1405,0.712
1043,0.711
1150,0.711
1260,0.709
1285,0.709
1705,0.707
1010,0.706
911,0.706
1274,0.706
1239,0.705
903,0.705
1563,0.704
1723,0.703
1149,0.698
1508,0.695
998,0.694
975,0.692
1288,0.691
1095,0.691
1525,0.691
1004,0.69
968,0.69
1163,0.687
918,0.685
1567,0.684
1377,0.684
1026,0.683
1205,0.682
1265,0.682
1706,0.68
1491,0.677
1087,0.677
1502,0.676
1048,0.676
904,0.675
1203,0.674
1243,0.674
1379,0.674
1755,0.673
1675,0.673
999,0.672
958,0.67
1056,0.67
1251,0.668
1509,0.667
1448,0.667
1018,0.666
1317,0.666
965,0.665
1297,0.665
910,0.663
1045,0.661
1758,0.658
1152,0.653
1766,0.653
1038,0.651
1177,0.646
1702,0.645
1196,0.645
1340,0.643
1017,0.642
1113,0.642
1140,0.641
1483,0.64
988,0.639
1125,0.638
1694,0.637
1695,0.635
1595,0.635
1053,0.635
1126,0.629
1146,0.629
1558,0.628
1414,0.626
1494,0.624
1256,0.622
1097,0.621
1778,0.621
1284,0.619
1536,0.618
1569,0.618
1554,0.617
1162,0.616
1171,0.616
1764,0.614
1326,0.613
1752,0.613
1670,0.612
982,0.61
1625,0.61
1724,0.61
1142,0.609
1315,0.608
1076,0.608
1082,0.607
1244,0.606
1073,0.606
1578,0.605
1538,0.605
1588,0.605
1404,0.603
1391,0.601
1316,0.598
1601,0.596
1068,0.595
971,0.595
1194,0.594
1057,0.59
1639,0.586
1400,0.586
908,0.583
1346,0.581
1137,0.58
1094,0.578
1589,0.578
1158,0.577
1133,0.577
1259,0.57
1303,0.565
1521,0.564
1218,0.564
1294,0.564
1341,0.56
1531,0.554
1180,0.553
993,0.552
948,0.551
914,0.549
1376,0.546
1526,0.546
1166,0.541
1515,0.541
1263,0.54
1072,0.539
936,0.532
1014,0.532
955,0.531
961,0.528
970,0.528
1063,0.528
1720,0.527
1484,0.525
1108,0.524
934,0.522
1741,0.521
1007,0.52
1025,0.519
1498,0.518
1348,0.517
1635,0.516
1717,0.516
1033,0.514
1746,0.51
985,0.508
1673,0.504
1002,0.502
1456,0.499
953,0.489
1490,0.488
1624,0.487
1332,0.487
1189,0.486
1181,0.485
1277,0.481
1096,0.48
1714,0.478
933,0.477
1686,0.473
1592,0.471
1366,0.471
1131,0.468
1253,0.467
1373,0.466
1663,0.463
1620,0.462
1310,0.461
1390,0.46
1268,0.458
1590,0.456
927,0.448
1500,0.447
1419,0.446
912,0.443
974,0.443
1535,0.437
1193,0.437
905,0.436
1006,0.434
1058,0.433
1061,0.43
1651,0.429
1110,0.428
1261,0.428
1049,0.426
1183,0.425
1029,0.419
1343,0.418
1247,0.418
1175,0.417
1236,0.413
972,0.413
1584,0.413
1389,0.412
920,0.411
1114,0.406
1623,0.397
1201,0.397
1351,0.396
1128,0.396
1339,0.396
1023,0.396
1165,0.395
994,0.394
1455,0.394
1273,0.394
901,0.393
1257,0.393
1355,0.393
1450,0.393
928,0.392
1640,0.392
963,0.392
1085,0.392
1693,0.391
1075,0.391
1656,0.39
1411,0.39
939,0.39
1270,0.39
1654,0.39
1572,0.389
1541,0.389
1361,0.388
946,0.388
1604,0.388
917,0.388
1173,0.387
1603,0.387
1024,0.387
1238,0.386
1132,0.385
1398,0.385
1408,0.384
1681,0.384
1187,0.384
1353,0.384
913,0.384
1730,0.384
1231,0.383
1016,0.383
1172,0.383
926,0.382
1367,0.381
1229,0.381
1685,0.381
983,0.381
1650,0.381
1510,0.381
1626,0.38
1086,0.38
1637,0.38
1003,0.38
945,0.379
986,0.379
1504,0.379
1221,0.378
1562,0.378
1385,0.378
952,0.378
1445,0.377
1422,0.377
1206,0.376
1460,0.376
1729,0.376
1485,0.376
1035,0.375
1092,0.375
1466,0.375
1426,0.375
1659,0.375
1079,0.375
1582,0.374
1709,0.374
1532,0.373
1358,0.373
989,0.373
1392,0.373
1161,0.373
1442,0.372
1667,0.371
1471,0.371
1046,0.371
1544,0.371
1148,0.371
1050,0.371
1349,0.37
1032,0.37
1576,0.37
1078,0.37
1552,0.37
1399,0.37
1777,0.37
1518,0.37
1512,0.369
1556,0.369
977,0.369
962,0.369
1772,0.368
1470,0.368
1612,0.368
1202,0.367
1649,0.366
1091,0.366
1641,0.366
1296,0.365
1537,0.365
1452,0.365
1607,0.364
1413,0.364
1111,0.364
1396,0.364
1123,0.364
1223,0.364
991,0.364
1009,0.363
1228,0.363
1520,0.363
1672,0.363
1134,0.363
1362,0.363
1067,0.363
1302,0.362
1522,0.362
1279,0.362
1156,0.362
1121,0.362
1250,0.361
942,0.361
1084,0.361
1276,0.361
1647,0.36
1600,0.36
1281,0.359
1381,0.359
1313,0.359
1093,0.359
1105,0.359
1124,0.359
1350,0.359
1425,0.358
1593,0.358
1549,0.358
1718,0.357
1473,0.357
1327,0.357
1312,0.356
1627,0.356
1660,0.356
1738,0.356
1065,0.356
1164,0.355
1474,0.355
1290,0.355
1446,0.355
1219,0.355
1757,0.354
1433,0.354
1378,0.354
1586,0.354
1287,0.354
1665,0.354
1609,0.354
1401,0.354
1117,0.354
1529,0.353
1748,0.352
897,0.352
1424,0.352
1269,0.352
1019,0.352
1112,0.352
944,0.351
1410,0.351
1517,0.351
1507,0.351
1630,0.35
1127,0.35
1214,0.35
1081,0.35
1314,0.35
1555,0.35
1441,0.35
1295,0.35
1501,0.35
995,0.349
941,0.349
957,0.349
1591,0.349
1771,0.349
1429,0.349
1557,0.349
973,0.349
1119,0.348
1372,0.347
1077,0.347
1776,0.347
1435,0.346
1115,0.346
1447,0.346
1099,0.346
1154,0.346
1439,0.345
907,0.345
1022,0.345
1580,0.345
909,0.345
1519,0.345
1021,0.345
1104,0.345
1731,0.345
932,0.344
966,0.344
1246,0.344
1198,0.344
1608,0.344
1613,0.344
1503,0.343
1418,0.343
1571,0.343
1167,0.343
1015,0.342
1443,0.342
1407,0.342
1465,0.342
1334,0.342
925,0.341
1676,0.341
1088,0.34
1370,0.34
1459,0.34
1486,0.34
1291,0.339
1245,0.339
1190,0.339
1130,0.339
1012,0.338
1689,0.338
1480,0.338
1000,0.338
1374,0.338
1513,0.338
931,0.338
1060,0.337
1655,0.337
1417,0.336
916,0.336
1304,0.335
1664,0.335
1157,0.335
1739,0.335
1192,0.335
1477,0.334
1540,0.334
1234,0.334
1352,0.333
1147,0.333
1106,0.333
1042,0.332
1722,0.332
1336,0.332
1475,0.332
1286,0.331
1427,0.331
1668,0.331
1481,0.331
1551,0.331
924,0.33
1195,0.33
967,0.329
1462,0.328
1179,0.328
1697,0.328
1369,0.328
1436,0.328
1321,0.328
1311,0.327
1255,0.327
1209,0.327
1638,0.327
1469,0.326
1333,0.326
1383,0.326
1040,0.326
1213,0.325
1742,0.325
1102,0.325
1120,0.325
1472,0.324
915,0.324
1359,0.323
1170,0.323
1138,0.323
1423,0.322
1298,0.322
997,0.322
1430,0.322
1191,0.321
1159,0.321
1151,0.321
1464,0.321
1570,0.321
1176,0.32
1736,0.32
1684,0.32
1282,0.32
1215,0.32
1713,0.32
1599,0.32
1444,0.32
1434,0.319
1070,0.319
1386,0.319
1437,0.319
1080,0.318
1211,0.318
1747,0.318
1453,0.318
1478,0.317
1579,0.317
1169,0.317
1467,0.317
1186,0.317
1575,0.317
1220,0.317
1364,0.317
1293,0.317
1074,0.316
1356,0.316
1330,0.316
1230,0.315
1388,0.315
1440,0.314
1037,0.314
1337,0.313
1139,0.312
947,0.312
1784,0.311
1116,0.311
1136,0.311
943,0.31
980,0.309
1553,0.309
1052,0.309
1661,0.308
992,0.308
1468,0.308
1129,0.308
902,0.307
1594,0.307
1438,0.306
1384,0.306
1497,0.306
1005,0.305
1394,0.305
1602,0.305
1344,0.304
1652,0.304
1596,0.304
1530,0.304
1749,0.303
1767,0.303
1710,0.303
1615,0.303
1252,0.302
1546,0.302
1457,0.301
1240,0.301
1489,0.301
1242,0.301
1581,0.3
1365,0.3
1409,0.3
1542,0.3
1216,0.299
1412,0.298
1320,0.297
1347,0.296
1305,0.296
1248,0.294
1299,0.291
1254,0.291
1319,0.29
1323,0.289
1278,0.289
1301,0.288
