Motor,Track #,Label,Number spots,Number Gaps,Longest Gap,Number Splits,Number Merges,Number Complex,Track Duration,Track start,Track stop,Track Displacement,Track Index,Track ID,Track X Location,Track Y Location,Track Z Location,Track Mean Speed,Track Max Speed,Track Min Speed,Track Median Speed,Track STD Speed,Track Mean Quality,Track Max Quality,Track Min Quality,Track Median Quality,Track Std Quality
Kinesin-4,1,Track_10,16,0,0,0,0,0,8.385,0,8.385,0.485,10,10,32.264,42.78,0,0.086,0.274,0.013,0.052,0.073,1337.333,1861.902,1014.522,1256.115,239.517
Kinesin-4,2,Track_11,56,0,0,0,0,0,30.745,0,30.745,0.369,11,11,66.506,27.223,0,0.058,0.304,0.004,0.029,0.062,1191.672,1942.373,375.197,1369.533,531.86
Kinesin-4,3,Track_20,48,0,0,0,0,0,26.273,0,26.273,0.968,20,20,26.576,19.863,0,0.058,0.657,0.002,0.022,0.118,1170.93,1777.281,385.016,1224.239,299.745
Kinesin-4,4,Track_21,138,0,0,0,0,0,76.583,0,76.583,11.969,21,21,50.119,45.934,0,0.28,1.715,0.004,0.194,0.309,1119.427,2152.807,286.204,1164.814,359.119
Kinesin-4,5,Track_23,132,1,1,0,0,0,73.788,0,73.788,2.698,23,23,38.611,8.226,0,0.147,1.189,0.002,0.087,0.187,1034.397,1962.798,298.115,1027.74,326.726
Kinesin-4,6,Track_38,30,1,1,0,0,0,16.77,0,16.77,2.796,38,38,25.877,24.084,0,0.204,0.881,0.005,0.137,0.224,1383.62,2342.235,754.58,1167.69,518.071
Kinesin-4,7,Track_52,28,0,0,0,0,0,15.093,0,15.093,1.257,52,52,3.428,40.877,0,0.158,0.639,0.017,0.094,0.157,1202.316,2196.357,583.156,1211.727,423.052
Kinesin-4,8,Track_91,19,1,1,0,0,0,10.621,0.559,11.18,2.973,91,91,49.874,39.764,0,0.343,1.327,0.063,0.312,0.306,882.35,1230.806,532.38,919.422,221.14
Kinesin-4,9,Track_97,20,0,0,0,0,0,10.621,0.559,11.18,3.738,97,97,61.268,69.183,0,0.362,1.903,0.019,0.302,0.456,972.747,1240.032,586.486,979.361,177.089
Kinesin-4,10,Track_173,71,0,0,0,0,0,39.13,3.354,42.484,7.97,173,173,76.902,14.073,0,0.233,1.52,0.009,0.174,0.257,1220.462,1808.578,723.736,1140.392,304.371
