# test data for numerical intergration
# assignment, BMB510   jan 2003 kas
# x  y
-10.0000    -51.0000
-9.6000     -42.2416
-9.2000     -34.3408
-8.8000     -27.2592
-8.4000     -20.9584
-8.0000     -15.4000
-7.6000     -10.5456
-7.2000     -6.3568
-6.8000     -2.7952
-6.4000     0.1776
-6.0000     2.6000
-5.6000     4.5104
-5.2000     5.9472
-4.8000     6.9488
-4.4000     7.5536
-4.0000     7.8000
-3.6000     7.7264
-3.2000     7.3712
-2.8000     6.7728
-2.4000     5.9696
-2.0000     5.0000
-1.6000     3.9024
-1.2000     2.7152
-0.8000     1.4768
-0.4000     0.2256
0.0000      -1.0000
0.4000      -2.1616
0.8000      -3.2208
1.2000      -4.1392
1.6000      -4.8784
2.0000      -5.4000
2.4000      -5.6656
2.8000      -5.6368
3.2000      -5.2752
3.6000      -4.5424
4.0000      -3.4000
4.4000      -1.8096
4.8000      0.2672
5.2000      2.8688
5.6000      6.0336
6.0000      9.8000
6.4000      14.2064
6.8000      19.2912
7.2000      25.0928
7.6000      31.6496
8.0000      39.0000
8.4000      47.1824
8.8000      56.2352
9.2000      66.1968
9.6000      77.1056
10.0000     89.0000
