#  n       x         y        yfit       yresid    y+2sigma    y-2sigma 
   0      8.180      0.877      0.703      0.174      0.615      0.791 
   1     10.720      0.750      0.539      0.211      0.566      0.511 
   2      9.730      0.329      0.603     -0.274      0.585      0.620 
   3     13.610      0.450      0.352      0.098      0.511      0.194 
   4     10.540      0.847      0.550      0.297      0.570      0.531 
   5     10.250      0.657      0.569      0.088      0.575      0.563 
   6      7.260      0.898      0.762      0.136      0.632      0.892 
   7      9.730      0.792      0.603      0.189      0.585      0.620 
   8      8.500      0.846      0.682      0.164      0.609      0.756 
   9     11.900      0.814      0.463      0.351      0.544      0.382 
  10     11.530      0.737      0.487      0.250      0.551      0.422 
  11     11.430      0.178      0.493     -0.315      0.553      0.433 
  12      9.620      0.844      0.610      0.234      0.587      0.632 
  13     12.600      0.387      0.418     -0.031      0.530      0.305 
  14      9.880      0.645      0.593      0.052      0.582      0.604 
  15      9.970      0.633      0.587      0.045      0.581      0.594 
  16     10.570      0.643      0.549      0.094      0.569      0.528 
  17     10.490      0.650      0.554      0.096      0.571      0.537 
  18     11.070      0.249      0.516     -0.267      0.560      0.473 
  19     11.090      0.179      0.515     -0.336      0.559      0.471 
  20     11.130      0.464      0.512     -0.048      0.558      0.466 
  21     11.180      0.498      0.509     -0.012      0.558      0.461 
  22     10.580      0.401      0.548     -0.147      0.569      0.527 
  23     10.600      0.357      0.547     -0.190      0.569      0.525 
  24     10.220      0.401      0.571     -0.170      0.576      0.566 
  25     10.220      0.410      0.571     -0.161      0.576      0.566 
  26     10.230      0.228      0.570     -0.343      0.576      0.565 
  27      7.990      0.819      0.715      0.104      0.618      0.812 
  28      8.710      0.292      0.669     -0.377      0.605      0.732 
  29      8.970      0.865      0.652      0.214      0.600      0.704 
  30     10.260      0.347      0.569     -0.221      0.575      0.562 
  31     10.280      0.086      0.567     -0.482      0.575      0.560 
  32      9.180      0.345      0.638     -0.294      0.596      0.681 
  33      9.430      0.508      0.622     -0.114      0.591      0.653 
  34      8.110      0.292      0.707     -0.415      0.616      0.798 
  35      8.940      0.801      0.654      0.148      0.600      0.707 
  36      9.510      0.749      0.617      0.132      0.589      0.644 
  37      8.280      0.810      0.696      0.114      0.613      0.780 
  38     11.320      0.213      0.500     -0.287      0.555      0.445 
  39     10.540      0.765      0.550      0.214      0.570      0.531 
  40     10.440      0.400      0.557     -0.157      0.572      0.542 
  41     10.050      0.726      0.582      0.144      0.579      0.585 
  42     10.030      0.574      0.583     -0.010      0.579      0.587 
  43     11.830      0.158      0.467     -0.310      0.545      0.389 
  44      9.200      0.797      0.637      0.160      0.595      0.679 
  45     11.750      0.656      0.472      0.184      0.547      0.398 
  46     11.940      0.793      0.460      0.333      0.543      0.377 
  47     11.160      0.531      0.510      0.020      0.558      0.463 
  48     10.890      0.572      0.528      0.044      0.563      0.493 
  49     12.030      0.790      0.454      0.336      0.541      0.367 
  50      9.330      0.843      0.629      0.214      0.593      0.664 
  51      9.720      0.828      0.603      0.225      0.585      0.621 
  52     10.160      0.826      0.575      0.252      0.577      0.573 
  53     11.260      0.828      0.504      0.324      0.556      0.452 
  54     11.540      0.652      0.486      0.166      0.551      0.421 
  55     10.230      0.531      0.570     -0.039      0.576      0.565 
  56      7.700      0.894      0.734      0.160      0.624      0.844 
  57      9.520      0.217      0.616     -0.399      0.589      0.643 
  58     10.000      0.195      0.585     -0.391      0.580      0.591 
  59      7.330      0.904      0.758      0.146      0.631      0.884 
  60      7.320      0.853      0.758      0.095      0.631      0.885 
  61      9.400      0.698      0.624      0.074      0.591      0.657 
  62     10.160      0.077      0.575     -0.498      0.577      0.573 
