#tau pdf cdf
#  x      p(x)     cdf(x) 
           0.25       3.7729e-13                 0  
         0.2575       4.3986e-13        7.2354e-16  
        0.26522       5.1296e-13        1.5925e-15  
        0.27317       5.9843e-13        2.6364e-15  
        0.28136       6.9843e-13        3.8911e-15  
        0.28979       8.1553e-13        5.3998e-15  
        0.29848       9.5277e-13        7.2147e-15  
        0.30743       1.1138e-12        9.3993e-15  
        0.31665       1.3028e-12         1.203e-14  
        0.32614       1.5249e-12        1.5202e-14  
        0.33592       1.7863e-12        1.9027e-14  
        0.34599       2.0942e-12        2.3643e-14  
        0.35636       2.4573e-12        2.9221e-14  
        0.36705        2.886e-12        3.5965e-14  
        0.37805       3.3928e-12        4.4127e-14  
        0.38938       3.9926e-12        5.4016e-14  
        0.40106       4.7037e-12        6.6009e-14  
        0.41308       5.5476e-12         8.057e-14  
        0.42547       6.5507e-12         9.827e-14  
        0.43822       7.7449e-12        1.1981e-13  
        0.45136       9.1685e-12        1.4606e-13  
        0.46489       1.0868e-11        1.7809e-13  
        0.47883       1.2902e-11        2.1723e-13  
        0.49319       1.5337e-11        2.6512e-13  
        0.50797        1.826e-11        3.2381e-13  
         0.5232       2.1773e-11        3.9583e-13  
        0.53889       2.6003e-11        4.8436e-13  
        0.55505       3.1105e-11        5.9336e-13  
        0.57169       3.7271e-11        7.2777e-13  
        0.58883       4.4737e-11        8.9382e-13  
        0.60648       5.3793e-11        1.0993e-12  
        0.62466       6.4799e-11         1.354e-12  
        0.64339       7.8201e-11        1.6704e-12  
        0.66268       9.4554e-11        2.0641e-12  
        0.68255       1.1455e-10        2.5548e-12  
        0.70301       1.3904e-10        3.1679e-12  
        0.72409       1.6912e-10        3.9352e-12  
         0.7458       2.0612e-10        4.8975e-12  
        0.76816       2.5175e-10        6.1069e-12  
        0.79119       3.0812e-10        7.6301e-12  
        0.81491       3.7795e-10        9.5526e-12  
        0.83934       4.6461e-10        1.1984e-11  
        0.86451       5.7243e-10        1.5067e-11  
        0.89042       7.0689e-10        1.8984e-11  
        0.91712       8.7495e-10        2.3973e-11  
        0.94462       1.0855e-09        3.0341e-11  
        0.97294         1.35e-09        3.8489e-11  
         1.0021       1.6829e-09         4.894e-11  
         1.0322       2.1031e-09        6.2377e-11  
         1.0631       2.6349e-09        7.9697e-11  
          1.095       3.3094e-09        1.0208e-10  
         1.1278       4.1672e-09        1.3107e-10  
         1.1616       5.2611e-09        1.6873e-10  
         1.1964       6.6596e-09        2.1778e-10  
         1.2323       8.4523e-09        2.8181e-10  
