#fraction pdf cdf
#  x      p(x)     cdf(x) 
     0.00039968       2.9305e-05                 0  
     0.00079936        0.0001168        1.0467e-07  
       0.001199       0.00026185        3.7593e-07  
      0.0015987       0.00046384        8.9581e-07  
      0.0019984       0.00072214        1.7454e-06  
      0.0023981        0.0010361        3.0051e-06  
      0.0027978        0.0014052         4.754e-06  
      0.0031974        0.0018288        7.0709e-06  
      0.0035971        0.0023062        1.0033e-05  
      0.0039968        0.0028369        1.3718e-05  
      0.0043965        0.0034203          1.82e-05  
      0.0047962        0.0040558        2.3556e-05  
      0.0051958        0.0047427        2.9859e-05  
      0.0055955        0.0054806        3.7183e-05  
      0.0059952        0.0062688          4.56e-05  
      0.0063949        0.0071067        5.5182e-05  
      0.0067946        0.0079938           6.6e-05  
      0.0071942        0.0089295        7.8124e-05  
      0.0075939        0.0099132        9.1622e-05  
      0.0079936         0.010944        0.00010656  
      0.0083933         0.012023        0.00012302  
       0.008793         0.013147        0.00014105  
      0.0091926         0.014317        0.00016072  
      0.0095923         0.015533        0.00018211  
       0.009992         0.016793        0.00020527  
       0.010392         0.018098        0.00023026  
       0.010791         0.019446        0.00025716  
       0.011191         0.020837        0.00028602  
       0.011591          0.02227         0.0003169  
        0.01199         0.023746        0.00034986  
        0.01239         0.025264        0.00038497  
        0.01279         0.026822        0.00042229  
       0.013189         0.028421        0.00046186  
       0.013589         0.030059        0.00050376  
       0.013989         0.031738        0.00054803  
       0.014388         0.033455        0.00059473  
       0.014788         0.035211        0.00064392  
       0.015188         0.037004        0.00069566  
       0.015588         0.038835        0.00074999  
       0.015987         0.040703        0.00080697  
       0.016387         0.042608        0.00086665  
       0.016787         0.044548        0.00092909  
       0.017186         0.046524        0.00099433  
       0.017586         0.048535         0.0010624  
       0.017986         0.050581         0.0011334  
       0.018385         0.052661         0.0012074  
       0.018785         0.054774         0.0012844  
       0.019185         0.056921         0.0013644  
       0.019584           0.0591         0.0014475  
       0.019984         0.061311         0.0015338  
       0.020384         0.063555         0.0016232  
       0.020783         0.065829         0.0017159  
       0.021183         0.068135         0.0018119  
       0.021583          0.07047         0.0019112  
       0.021982         0.072836         0.0020138  
       0.022382         0.075232         0.0021199  
       0.022782         0.077656         0.0022294  
       0.023181         0.080109         0.0023425  
       0.023581         0.082591          0.002459  
       0.023981           0.0851         0.0025791  
        0.02438         0.087637         0.0027029  
        0.02478           0.0902         0.0028303  
        0.02518         0.092791         0.0029614  
        0.02558         0.095407         0.0030962  
       0.025979         0.098049         0.0032348  
       0.026379          0.10072         0.0033772  
       0.026779          0.10341         0.0035234  
       0.027178          0.10613         0.0036735  
       0.027578          0.10887         0.0038275  
       0.027978          0.11163         0.0039855  
       0.028377          0.11442         0.0041475  
       0.028777          0.11723         0.0043134  
       0.029177          0.12006         0.0044834  
       0.029576          0.12292         0.0046575  
       0.029976           0.1258         0.0048356  
       0.030376          0.12869          0.005018  
       0.030775          0.13161         0.0052044  
       0.031175          0.13455         0.0053951  
       0.031575          0.13752           0.00559  
       0.031974           0.1405         0.0057892  
       0.032374           0.1435         0.0059926  
       0.032774          0.14652         0.0062004  
       0.033173          0.14955         0.0064125  
       0.033573          0.15261          0.006629  
       0.033973          0.15568         0.0068498  
       0.034373          0.15878         0.0070751  
       0.034772          0.16189         0.0073048  
       0.035172          0.16501          0.007539  
       0.035572          0.16816         0.0077777  
       0.035971          0.17132         0.0080209  
       0.036371          0.17449         0.0082686  
       0.036771          0.17768         0.0085209  
        0.03717          0.18089         0.0087778  
        0.03757          0.18411         0.0090393  
        0.03797          0.18735         0.0093054  
       0.038369           0.1906         0.0095761  
       0.038769          0.19386         0.0098516  
       0.039169          0.19714          0.010132  
       0.039568          0.20043          0.010416  
       0.039968          0.20374          0.010706  
       0.040368          0.20706             0.011  
       0.040767          0.21039          0.011299  
       0.041167          0.21373          0.011603  
       0.041567          0.21708          0.011912  
       0.041966          0.22045          0.012225  
       0.042366          0.22383          0.012544  
       0.042766          0.22721          0.012867  
       0.043165          0.23061          0.013195  
       0.043565          0.23402          0.013528  
       0.043965          0.23744          0.013865  
       0.044365          0.24087          0.014208  
       0.044764          0.24431          0.014556  
       0.045164          0.24775          0.014908  
       0.045564          0.25121          0.015265  
       0.045963          0.25467          0.015628  
       0.046363          0.25815          0.015995  
       0.046763          0.26163          0.016368  
       0.047162          0.26512          0.016745  
       0.047562          0.26861          0.017127  
       0.047962          0.27212          0.017515  
       0.048361          0.27563          0.017907  
       0.048761          0.27914          0.018305  
       0.049161          0.28267          0.018707  
        0.04956           0.2862          0.019115  
        0.04996          0.28973          0.019527  
        0.05036          0.29328          0.019945  
       0.050759          0.29682          0.020368  
       0.051159          0.30037          0.020795  
       0.051559          0.30393          0.021228  
       0.051958          0.30749          0.021666  
       0.052358          0.31106          0.022109  
       0.052758          0.31463          0.022558  
       0.053157           0.3182          0.023011  
       0.053557          0.32178          0.023469  
       0.053957          0.32536          0.023933  
       0.054357          0.32895          0.024402  
       0.054756          0.33254          0.024876  
       0.055156          0.33613          0.025355  
       0.055556          0.33972          0.025839  
       0.055955          0.34331          0.026328  
       0.056355          0.34691          0.026823  
       0.056755          0.35051          0.027322  
       0.057154          0.35411          0.027827  
       0.057554          0.35771          0.028337  
       0.057954          0.36132          0.028852  
       0.058353          0.36492          0.029372  
       0.058753          0.36853          0.029898  
       0.059153          0.37213          0.030428  
       0.059552          0.37574          0.030964  
       0.059952          0.37935          0.031505  
       0.060352          0.38295          0.032051  
       0.060751          0.38656          0.032603  
       0.061151          0.39016          0.033159  
       0.061551          0.39377          0.033721  
        0.06195          0.39737          0.034287  
        0.06235          0.40098          0.034859  
        0.06275          0.40458          0.035436  
       0.063149          0.40818          0.036019  
       0.063549          0.41178          0.036606  
       0.063949          0.41537          0.037199  
       0.064349          0.41897          0.037796  
       0.064748          0.42256          0.038399  
       0.065148          0.42615          0.039007  
       0.065548          0.42974           0.03962  
       0.065947          0.43332          0.040239  
       0.066347          0.43691          0.040862  
       0.066747          0.44049          0.041491  
       0.067146          0.44406          0.042124  
       0.067546          0.44763          0.042763  
       0.067946           0.4512          0.043407  
       0.068345          0.45477          0.044056  
       0.068745          0.45833           0.04471  
       0.069145          0.46189          0.045369  
       0.069544          0.46544          0.046034  
       0.069944          0.46899          0.046703  
       0.070344          0.47253          0.047378  
       0.070743          0.47607          0.048057  
       0.071143           0.4796          0.048742  
       0.071543          0.48313          0.049432  
       0.071942          0.48666          0.050126  
       0.072342          0.49017          0.050826  
       0.072742          0.49369          0.051531  
       0.073141          0.49719          0.052241  
       0.073541          0.50069          0.052956  
       0.073941          0.50419          0.053676  
       0.074341          0.50768            0.0544  
        0.07474          0.51116           0.05513  
        0.07514          0.51464          0.055865  
        0.07554          0.51811          0.056605  
       0.075939          0.52157           0.05735  
       0.076339          0.52503            0.0581  
       0.076739          0.52848          0.058854  
       0.077138          0.53192          0.059614  
       0.077538          0.53536          0.060379  
       0.077938          0.53878          0.061148  
       0.078337           0.5422          0.061922  
       0.078737          0.54562          0.062702  
       0.079137          0.54902          0.063486  
       0.079536          0.55242          0.064275  
       0.079936          0.55581          0.065069  
       0.080336          0.55919          0.065868  
       0.080735          0.56256          0.066671  
       0.081135          0.56593           0.06748  
       0.081535          0.56928          0.068293  
       0.081934          0.57263          0.069111  
       0.082334          0.57597          0.069934  
       0.082734           0.5793          0.070762  
       0.083133          0.58262          0.071594  
       0.083533          0.58593          0.072431  
       0.083933          0.58923          0.073273  
       0.084333          0.59253           0.07412  
       0.084732          0.59581          0.074971  
       0.085132          0.59908          0.075827  
       0.085532          0.60235          0.076688  
       0.085931           0.6056          0.077553  
       0.086331          0.60885          0.078423  
       0.086731          0.61209          0.079298  
        0.08713          0.61531          0.080177  
        0.08753          0.61853          0.081061  
        0.08793          0.62173          0.081949  
       0.088329          0.62493          0.082842  
       0.088729          0.62811           0.08374  
       0.089129          0.63128          0.084642  
       0.089528          0.63445          0.085549  
       0.089928           0.6376           0.08646  
       0.090328          0.64074          0.087376  
       0.090727          0.64387          0.088296  
       0.091127          0.64699          0.089221  
       0.091527           0.6501           0.09015  
       0.091926           0.6532          0.091084  
       0.092326          0.65629          0.092022  
       0.092726          0.65936          0.092965  
       0.093125          0.66243          0.093912  
       0.093525          0.66548          0.094863  
       0.093925          0.66852          0.095819  
       0.094325          0.67155          0.096779  
       0.094724          0.67457          0.097743  
       0.095124          0.67758          0.098712  
       0.095524          0.68057          0.099685  
       0.095923          0.68355           0.10066  
       0.096323          0.68652           0.10164  
       0.096723          0.68948           0.10263  
       0.097122          0.69243           0.10362  
       0.097522          0.69536           0.10461  
       0.097922          0.69829           0.10561  
       0.098321          0.70119           0.10661  
       0.098721          0.70409           0.10762  
       0.099121          0.70698           0.10863  
        0.09952          0.70985           0.10965  
        0.09992          0.71271           0.11067  
        0.10032          0.71556           0.11169  
        0.10072          0.71839           0.11272  
        0.10112          0.72121           0.11375  
        0.10152          0.72402           0.11478  
        0.10192          0.72682           0.11582  
        0.10232           0.7296           0.11687  
        0.10272          0.73237           0.11791  
        0.10312          0.73513           0.11896  
        0.10352          0.73787           0.12002  
        0.10392           0.7406           0.12108  
        0.10432          0.74332           0.12214  
        0.10472          0.74602           0.12321  
        0.10512          0.74871           0.12428  
        0.10552          0.75139           0.12535  
        0.10592          0.75405           0.12643  
        0.10631           0.7567           0.12752  
        0.10671          0.75934            0.1286  
        0.10711          0.76196           0.12969  
        0.10751          0.76457           0.13078  
        0.10791          0.76717           0.13188  
        0.10831          0.76975           0.13298  
        0.10871          0.77232           0.13409  
        0.10911          0.77488            0.1352  
        0.10951          0.77742           0.13631  
        0.10991          0.77994           0.13742  
        0.11031          0.78246           0.13854  
        0.11071          0.78496           0.13967  
        0.11111          0.78744           0.14079  
        0.11151          0.78991           0.14192  
        0.11191          0.79237           0.14306  
        0.11231          0.79482           0.14419  
        0.11271          0.79724           0.14533  
        0.11311          0.79966           0.14648  
        0.11351          0.80206           0.14763  
        0.11391          0.80445           0.14878  
        0.11431          0.80682           0.14993  
        0.11471          0.80918           0.15109  
        0.11511          0.81152           0.15225  
        0.11551          0.81385           0.15341  
        0.11591          0.81617           0.15458  
        0.11631          0.81847           0.15575  
        0.11671          0.82075           0.15693  
        0.11711          0.82303            0.1581  
        0.11751          0.82528           0.15928  
        0.11791          0.82753           0.16047  
        0.11831          0.82975           0.16166  
        0.11871          0.83197           0.16285  
         0.1191          0.83417           0.16404  
         0.1195          0.83635           0.16524  
         0.1199          0.83852           0.16644  
         0.1203          0.84068           0.16764  
         0.1207          0.84282           0.16885  
         0.1211          0.84495           0.17005  
         0.1215          0.84706           0.17127  
         0.1219          0.84915           0.17248  
         0.1223          0.85124            0.1737  
         0.1227           0.8533           0.17492  
         0.1231          0.85536           0.17615  
         0.1235           0.8574           0.17737  
         0.1239          0.85942            0.1786  
         0.1243          0.86143           0.17984  
         0.1247          0.86342           0.18107  
         0.1251           0.8654           0.18231  
         0.1255          0.86736           0.18355  
         0.1259          0.86931           0.18479  
         0.1263          0.87125           0.18604  
         0.1267          0.87317           0.18729  
         0.1271          0.87507           0.18854  
         0.1275          0.87696            0.1898  
         0.1279          0.87884           0.19106  
         0.1283           0.8807           0.19232  
         0.1287          0.88254           0.19358  
         0.1291          0.88438           0.19485  
         0.1295          0.88619           0.19611  
         0.1299          0.88799           0.19739  
         0.1303          0.88978           0.19866  
         0.1307          0.89155           0.19994  
         0.1311          0.89331           0.20121  
        0.13149          0.89505            0.2025  
        0.13189          0.89677           0.20378  
        0.13229          0.89849           0.20507  
        0.13269          0.90018           0.20635  
        0.13309          0.90186           0.20764  
        0.13349          0.90353           0.20894  
        0.13389          0.90518           0.21023  
        0.13429          0.90682           0.21153  
        0.13469          0.90844           0.21283  
        0.13509          0.91005           0.21414  
        0.13549          0.91164           0.21544  
        0.13589          0.91322           0.21675  
        0.13629          0.91478           0.21806  
        0.13669          0.91633           0.21937  
        0.13709          0.91786           0.22068  
        0.13749          0.91938             0.222  
        0.13789          0.92089           0.22332  
        0.13829          0.92238           0.22464  
        0.13869          0.92385           0.22596  
        0.13909          0.92531           0.22729  
        0.13949          0.92675           0.22861  
        0.13989          0.92818           0.22994  
        0.14029           0.9296           0.23127  
        0.14069            0.931            0.2326  
        0.14109          0.93238           0.23394  
        0.14149          0.93375           0.23528  
        0.14189          0.93511           0.23662  
        0.14229          0.93645           0.23796  
        0.14269          0.93778            0.2393  
        0.14309          0.93909           0.24064  
        0.14349          0.94038           0.24199  
        0.14388          0.94167           0.24334  
        0.14428          0.94293           0.24469  
        0.14468          0.94419           0.24604  
        0.14508          0.94542           0.24739  
        0.14548          0.94665           0.24875  
        0.14588          0.94786           0.25011  
        0.14628          0.94905           0.25147  
        0.14668          0.95023           0.25283  
        0.14708           0.9514           0.25419  
        0.14748          0.95255           0.25555  
        0.14788          0.95368           0.25692  
        0.14828          0.95481           0.25829  
        0.14868          0.95591           0.25965  
        0.14908          0.95701           0.26102  
        0.14948          0.95809            0.2624  
        0.14988          0.95915           0.26377  
        0.15028           0.9602           0.26514  
        0.15068          0.96124           0.26652  
        0.15108          0.96226            0.2679  
        0.15148          0.96326           0.26928  
        0.15188          0.96426           0.27066  
        0.15228          0.96523           0.27204  
        0.15268           0.9662           0.27343  
        0.15308          0.96715           0.27481  
        0.15348          0.96808            0.2762  
        0.15388            0.969           0.27758  
        0.15428          0.96991           0.27897  
        0.15468           0.9708           0.28036  
        0.15508          0.97168           0.28176  
        0.15548          0.97255           0.28315  
        0.15588           0.9734           0.28454  
        0.15627          0.97424           0.28594  
        0.15667          0.97506           0.28733  
        0.15707          0.97587           0.28873  
        0.15747          0.97666           0.29013  
        0.15787          0.97744           0.29153  
        0.15827          0.97821           0.29293  
        0.15867          0.97896           0.29433  
        0.15907           0.9797           0.29574  
        0.15947          0.98043           0.29714  
        0.15987          0.98114           0.29855  
        0.16027          0.98184           0.29995  
        0.16067          0.98252           0.30136  
        0.16107          0.98319           0.30277  
        0.16147          0.98385           0.30418  
        0.16187          0.98449           0.30559  
        0.16227          0.98512             0.307  
        0.16267          0.98574           0.30841  
        0.16307          0.98634           0.30982  
        0.16347          0.98693           0.31124  
        0.16387          0.98751           0.31265  
        0.16427          0.98807           0.31407  
        0.16467          0.98862           0.31548  
        0.16507          0.98915            0.3169  
        0.16547          0.98967           0.31832  
        0.16587          0.99018           0.31974  
        0.16627          0.99068           0.32115  
        0.16667          0.99116           0.32257  
        0.16707          0.99163           0.32399  
        0.16747          0.99208           0.32542  
        0.16787          0.99253           0.32684  
        0.16827          0.99295           0.32826  
        0.16867          0.99337           0.32968  
        0.16906          0.99377           0.33111  
        0.16946          0.99416           0.33253  
        0.16986          0.99454           0.33395  
        0.17026          0.99491           0.33538  
        0.17066          0.99526           0.33681  
        0.17106           0.9956           0.33823  
        0.17146          0.99592           0.33966  
        0.17186          0.99623           0.34109  
        0.17226          0.99653           0.34251  
        0.17266          0.99682           0.34394  
        0.17306           0.9971           0.34537  
        0.17346          0.99736            0.3468  
        0.17386          0.99761           0.34823  
        0.17426          0.99784           0.34966  
        0.17466          0.99807           0.35109  
        0.17506          0.99828           0.35252  
        0.17546          0.99848           0.35395  
        0.17586          0.99867           0.35538  
        0.17626          0.99884           0.35681  
        0.17666            0.999           0.35824  
        0.17706          0.99915           0.35967  
        0.17746          0.99929            0.3611  
        0.17786          0.99941           0.36254  
        0.17826          0.99953           0.36397  
        0.17866          0.99963            0.3654  
        0.17906          0.99972           0.36683  
        0.17946          0.99979           0.36826  
        0.17986          0.99986            0.3697  
        0.18026          0.99991           0.37113  
        0.18066          0.99995           0.37256  
        0.18106          0.99998             0.374  
        0.18145                1           0.37543  
        0.18185                1           0.37686  
        0.18225          0.99999           0.37829  
        0.18265          0.99997           0.37973  
        0.18305          0.99994           0.38116  
        0.18345           0.9999           0.38259  
        0.18385          0.99985           0.38402  
        0.18425          0.99978           0.38546  
        0.18465          0.99971           0.38689  
        0.18505          0.99962           0.38832  
        0.18545          0.99952           0.38975  
        0.18585          0.99941           0.39119  
        0.18625          0.99928           0.39262  
        0.18665          0.99915           0.39405  
        0.18705            0.999           0.39548  
        0.18745          0.99885           0.39691  
        0.18785          0.99868           0.39834  
        0.18825           0.9985           0.39977  
        0.18865          0.99831            0.4012  
        0.18905          0.99811           0.40263  
        0.18945           0.9979           0.40406  
        0.18985          0.99767           0.40549  
        0.19025          0.99744           0.40692  
        0.19065          0.99719           0.40835  
        0.19105          0.99694           0.40978  
        0.19145          0.99667           0.41121  
        0.19185          0.99639           0.41264  
        0.19225           0.9961           0.41406  
        0.19265           0.9958           0.41549  
