#  n       x         y        yfit       yresid    y+2sigma    y-2sigma 
   0      0.877      8.180      9.576     -1.396      9.957      9.195 
   1      0.750     10.720      9.805      0.915     10.025      9.586 
   2      0.329      9.730     10.566     -0.836     10.249     10.883 
   3      0.450     13.610     10.347      3.263     10.185     10.510 
   4      0.847     10.540      9.630      0.910      9.973      9.287 
   5      0.657     10.250      9.973      0.277     10.074      9.872 
   6      0.898      7.260      9.538     -2.278      9.946      9.130 
   7      0.792      9.730      9.729      0.001     10.002      9.456 
   8      0.846      8.500      9.632     -1.132      9.973      9.290 
   9      0.814     11.900      9.690      2.210      9.990      9.389 
  10      0.737     11.530      9.829      1.701     10.032      9.626 
  11      0.178     11.430     10.839      0.591     10.330     11.348 
  12      0.844      9.620      9.635     -0.015      9.974      9.296 
  13      0.387     12.600     10.461      2.139     10.218     10.704 
  14      0.645      9.880      9.995     -0.115     10.081      9.910 
  15      0.633      9.970     10.017     -0.047     10.087      9.947 
  16      0.643     10.570      9.999      0.571     10.082      9.917 
  17      0.650     10.490      9.987      0.503     10.078      9.895 
  18      0.249     11.070     10.710      0.360     10.292     11.128 
  19      0.179     11.090     10.837      0.253     10.329     11.345 
  20      0.464     11.130     10.321      0.809     10.177     10.466 
  21      0.498     11.180     10.261      0.919     10.159     10.363 
  22      0.401     10.580     10.435      0.145     10.211     10.660 
  23      0.357     10.600     10.516      0.084     10.234     10.797 
  24      0.401     10.220     10.437     -0.217     10.211     10.662 
  25      0.410     10.220     10.420     -0.200     10.206     10.633 
  26      0.228     10.230     10.749     -0.519     10.303     11.196 
  27      0.819      7.990      9.681     -1.691      9.988      9.375 
  28      0.292      8.710     10.633     -1.923     10.269     10.997 
  29      0.865      8.970      9.596     -0.626      9.963      9.230 
  30      0.347     10.260     10.533     -0.273     10.239     10.827 
  31      0.086     10.280     11.006     -0.726     10.379     11.633 
  32      0.345      9.180     10.538     -1.358     10.241     10.835 
  33      0.508      9.430     10.242     -0.812     10.154     10.330 
  34      0.292      8.110     10.632     -2.522     10.269     10.996 
  35      0.801      8.940      9.713     -0.773      9.997      9.428 
  36      0.749      9.510      9.807     -0.297     10.025      9.589 
  37      0.810      8.280      9.696     -1.416      9.992      9.399 
  38      0.213     11.320     10.775      0.545     10.311     11.240 
  39      0.765     10.540      9.778      0.762     10.017      9.540 
  40      0.400     10.440     10.438      0.002     10.211     10.664 
  41      0.726     10.050      9.848      0.202     10.037      9.659 
  42      0.574     10.030     10.124     -0.094     10.119     10.129 
  43      0.158     11.830     10.876      0.954     10.341     11.411 
  44      0.797      9.200      9.720     -0.520      9.999      9.440 
  45      0.656     11.750      9.975      1.775     10.075      9.875 
  46      0.793     11.940      9.728      2.212     10.002      9.454 
  47      0.531     11.160     10.201      0.959     10.142     10.261 
  48      0.572     10.890     10.127      0.763     10.120     10.135 
  49      0.790     12.030      9.733      2.297     10.003      9.463 
  50      0.843      9.330      9.637     -0.307      9.975      9.299 
  51      0.828      9.720      9.664      0.056      9.983      9.345 
  52      0.826     10.160      9.667      0.493      9.984      9.350 
  53      0.828     11.260      9.664      1.596      9.983      9.344 
  54      0.652     11.540      9.982      1.558     10.077      9.887 
  55      0.531     10.230     10.201      0.029     10.141     10.260 
  56      0.894      7.700      9.545     -1.845      9.948      9.143 
  57      0.217      9.520     10.769     -1.249     10.309     11.229 
  58      0.195     10.000     10.809     -0.809     10.321     11.297 
  59      0.904      7.330      9.527     -2.197      9.943      9.112 
  60      0.853      7.320      9.619     -2.299      9.970      9.269 
  61      0.698      9.400      9.898     -0.498     10.052      9.745 
  62      0.077     10.160     11.021     -0.861     10.383     11.658 
