#mean pdf cdf
#  x      p(x)     cdf(x) 
        0.40632       6.0806e-06                 0  
        0.40884       6.5282e-06        1.7304e-07  
        0.41136       7.0093e-06        3.5882e-07  
        0.41389       7.5263e-06         5.583e-07  
        0.41641       8.0818e-06         7.725e-07  
        0.41894       8.6789e-06        1.0025e-06  
        0.42146       9.3206e-06        1.2495e-06  
        0.42398        1.001e-05        1.5148e-06  
        0.42651       1.0751e-05        1.7997e-06  
        0.42903       1.1548e-05        2.1058e-06  
        0.43156       1.2405e-05        2.4345e-06  
        0.43408       1.3325e-05        2.7876e-06  
         0.4366       1.4315e-05        3.1669e-06  
        0.43913       1.5379e-05        3.5744e-06  
        0.44165       1.6523e-05        4.0122e-06  
        0.44418       1.7753e-05        4.4826e-06  
         0.4467       1.9075e-05         4.988e-06  
        0.44922       2.0497e-05        5.5311e-06  
        0.45175       2.2025e-05        6.1146e-06  
        0.45427       2.3669e-05        6.7417e-06  
         0.4568       2.5437e-05        7.4156e-06  
        0.45932       2.7339e-05        8.1399e-06  
        0.46184       2.9384e-05        8.9183e-06  
        0.46437       3.1583e-05         9.755e-06  
        0.46689        3.395e-05        1.0654e-05  
        0.46942       3.6495e-05        1.1621e-05  
        0.47194       3.9234e-05         1.266e-05  
        0.47446       4.2182e-05        1.3778e-05  
        0.47699       4.5354e-05        1.4979e-05  
        0.47951       4.8767e-05        1.6271e-05  
        0.48204       5.2442e-05         1.766e-05  
        0.48456       5.6398e-05        1.9153e-05  
        0.48708       6.0657e-05         2.076e-05  
        0.48961       6.5244e-05        2.2487e-05  
        0.49213       7.0184e-05        2.4346e-05  
        0.49466       7.5506e-05        2.6345e-05  
        0.49718       8.1239e-05        2.8496e-05  
         0.4997       8.7418e-05        3.0811e-05  
        0.50223       9.4078e-05        3.3302e-05  
        0.50475       0.00010126        3.5982e-05  
        0.50728         0.000109        3.8868e-05  
         0.5098       0.00011735        4.1974e-05  
        0.51232       0.00012636        4.5319e-05  
        0.51485       0.00013607         4.892e-05  
        0.51737       0.00014657        5.2799e-05  
         0.5199       0.00015789        5.6977e-05  
        0.52242       0.00017012        6.1479e-05  
        0.52494       0.00018333        6.6329e-05  
        0.52747       0.00019761        7.1557e-05  
        0.52999       0.00021304        7.7193e-05  
        0.53252       0.00022973        8.3269e-05  
        0.53504       0.00024777        8.9822e-05  
        0.53756        0.0002673         9.689e-05  
        0.54009       0.00028843        0.00010452  
        0.54261       0.00031131        0.00011275  
        0.54514        0.0003361        0.00012163  
        0.54766       0.00036295        0.00013123  
        0.55018       0.00039207        0.00014159  
        0.55271       0.00042364        0.00015278  
        0.55523       0.00045789        0.00016488  
        0.55776       0.00049507        0.00017796  
        0.56028       0.00053544         0.0001921  
         0.5628       0.00057929         0.0002074  
        0.56533       0.00062696        0.00022395  
        0.56785       0.00067879        0.00024187  
        0.57038       0.00073518        0.00026127  
         0.5729       0.00079655         0.0002823  
        0.57542       0.00086339        0.00030508  
        0.57795       0.00093622        0.00032977  
        0.58047        0.0010156        0.00035656  
          0.583        0.0011022        0.00038562  
        0.58552        0.0011967        0.00041717  
        0.58805        0.0012999        0.00045143  
        0.59057        0.0014127        0.00048866  
        0.59309        0.0015359        0.00052912  
        0.59562        0.0016707        0.00057313  
        0.59814        0.0018183        0.00062101  
        0.60067        0.0019798        0.00067313  
        0.60319        0.0021568         0.0007299  
        0.60571        0.0023509        0.00079176  
        0.60824        0.0025638        0.00085921  
        0.61076        0.0027974        0.00093278  
        0.61329        0.0030539         0.0010131  
        0.61581        0.0033358         0.0011008  
        0.61833        0.0036457         0.0011966  
        0.62086        0.0039865         0.0013013  
        0.62338        0.0043616         0.0014159  
        0.62591        0.0047745         0.0015413  
        0.62843        0.0052292         0.0016786  
        0.63095        0.0057301          0.001829  
        0.63348        0.0062823         0.0019938  
          0.636        0.0068909         0.0021746  
        0.63853         0.007562         0.0023729  
        0.64105         0.008302         0.0025906  
        0.64357         0.009118         0.0028297  
         0.6461         0.010018         0.0030923  
        0.64862          0.01101         0.0033809  
        0.65115         0.012103         0.0036981  
        0.65367         0.013307         0.0040468  
        0.65619         0.014633         0.0044302  
        0.65872         0.016092         0.0048519  
        0.66124         0.017696         0.0053156  
        0.66377         0.019458         0.0058255  
        0.66629         0.021391         0.0063861  
        0.66881          0.02351         0.0070023  
        0.67134         0.025829         0.0076794  
        0.67386         0.028364         0.0084231  
        0.67639         0.031132         0.0092396  
        0.67891         0.034151          0.010135  
        0.68143         0.037438          0.011118  
        0.68396         0.041013          0.012195  
        0.68648         0.044896          0.013374  
        0.68901          0.04911          0.014664  
        0.69153         0.053677          0.016074  
        0.69405         0.058622          0.017615  
        0.69658         0.063971          0.019298  
         0.6991         0.069751          0.021133  
        0.70163         0.075993          0.023133  
        0.70415         0.082728          0.025311  
        0.70667          0.08999          0.027682  
         0.7092         0.097815          0.030259  
        0.71172          0.10624          0.033059  
        0.71425           0.1153            0.0361  
        0.71677          0.12505          0.039398  
        0.71929          0.13552          0.042974  
        0.72182          0.14677          0.046848  
        0.72434          0.15884          0.051042  
        0.72687          0.17177          0.055579  
        0.72939          0.18563          0.060484  
        0.73191          0.20046          0.065783  
        0.73444           0.2163          0.071502  
        0.73696          0.23321          0.077671  
        0.73949          0.25124          0.084319  
        0.74201          0.27041          0.091478  
        0.74453          0.29078          0.099179  
        0.74706          0.31236           0.10746  
        0.74958          0.33518           0.11634  
        0.75211          0.35925           0.12587  
        0.75463          0.38458           0.13608  
        0.75715          0.41116             0.147  
        0.75968          0.43896           0.15867  
         0.7622          0.46796           0.17111  
        0.76473          0.49811           0.18437  
        0.76725          0.52934           0.19847  
        0.76977          0.56158           0.21344  
         0.7723          0.59472           0.22931  
        0.77482          0.62861            0.2461  
        0.77735          0.66308           0.26383  
        0.77987          0.69792            0.2825  
        0.78239          0.73287           0.30214  
        0.78492           0.7676           0.32273  
        0.78744          0.80175           0.34427  
        0.78997          0.83488           0.36673  
        0.79249          0.86652           0.39008  
        0.79501          0.89614           0.41427  
        0.79754          0.92317           0.43923  
        0.80006          0.94704            0.4649  
        0.80259          0.96718           0.49117  
        0.80511          0.98303           0.51793  
        0.80763          0.99406           0.54507  
        0.81016          0.99985           0.57243  
        0.81268                1           0.59987  
        0.81521          0.99427           0.62724  
        0.81773           0.9825           0.65437  
        0.82026          0.96469           0.68109  
        0.82278          0.94095           0.70725  
         0.8253          0.91151           0.73267  
        0.82783          0.87675           0.75721  
        0.83035          0.83712           0.78073  
        0.83288          0.79319            0.8031  
         0.8354          0.74562           0.82422  
        0.83792          0.69514           0.84399  
        0.84045          0.64259           0.86235  
        0.84297          0.58887           0.87925  
         0.8455           0.5349           0.89467  
        0.84802          0.48163           0.90862  
        0.85054          0.42996           0.92113  
        0.85307          0.38065           0.93226  
        0.85559          0.33436           0.94207  
        0.85812          0.29154           0.95066  
        0.86064          0.25247           0.95813  
        0.86316          0.21728           0.96457  
        0.86569          0.18594           0.97011  
        0.86821          0.15831           0.97483  
        0.87074          0.13418           0.97884  
        0.87326          0.11327           0.98224  
        0.87578         0.095306            0.9851  
        0.87831         0.079964           0.98751  
        0.88083         0.066942           0.98952  
        0.88336         0.055948           0.99121  
