#mean pdf cdf
#  x      p(x)     cdf(x) 
        0.51148        0.0071641                 0  
        0.51165        0.0072015        8.5566e-06  
        0.51182        0.0072392        1.7158e-05  
        0.51199         0.007277        2.5804e-05  
        0.51216        0.0073151        3.4496e-05  
        0.51232        0.0073534        4.3233e-05  
        0.51249        0.0073919        5.2015e-05  
        0.51266        0.0074305        6.0844e-05  
        0.51283        0.0074694        6.9719e-05  
          0.513        0.0075085         7.864e-05  
        0.51317        0.0075479        8.7608e-05  
        0.51333        0.0075874        9.6623e-05  
         0.5135        0.0076271        0.00010569  
        0.51367        0.0076671         0.0001148  
        0.51384        0.0077072        0.00012395  
        0.51401        0.0077476        0.00013316  
        0.51418        0.0077882        0.00014241  
        0.51434         0.007829        0.00015171  
        0.51451        0.0078701        0.00016106  
        0.51468        0.0079113        0.00017046  
        0.51485        0.0079528        0.00017991  
        0.51502        0.0079945        0.00018941  
        0.51518        0.0080364        0.00019896  
        0.51535        0.0080786        0.00020856  
        0.51552         0.008121        0.00021821  
        0.51569        0.0081636        0.00022791  
        0.51586        0.0082064        0.00023766  
        0.51603        0.0082495        0.00024746  
        0.51619        0.0082928        0.00025731  
        0.51636        0.0083363        0.00026722  
        0.51653        0.0083801        0.00027717  
         0.5167        0.0084241        0.00028718  
        0.51687        0.0084683        0.00029725  
        0.51704        0.0085128        0.00030736  
         0.5172        0.0085575        0.00031753  
        0.51737        0.0086025        0.00032775  
        0.51754        0.0086477        0.00033802  
        0.51771        0.0086931        0.00034835  
        0.51788        0.0087388        0.00035873  
        0.51805        0.0087847        0.00036917  
        0.51821        0.0088309        0.00037966  
        0.51838        0.0088774        0.00039021  
        0.51855         0.008924        0.00040082  
        0.51872         0.008971        0.00041147  
        0.51889        0.0090182        0.00042219  
        0.51906        0.0090656        0.00043296  
        0.51922        0.0091133        0.00044379  
        0.51939        0.0091612        0.00045467  
        0.51956        0.0092094        0.00046562  
        0.51973        0.0092579        0.00047661  
         0.5199        0.0093066        0.00048767  
        0.52006        0.0093556        0.00049879  
        0.52023        0.0094049        0.00050996  
         0.5204        0.0094544         0.0005212  
        0.52057        0.0095042        0.00053249  
        0.52074        0.0095543        0.00054384  
        0.52091        0.0096046        0.00055525  
        0.52107        0.0096552        0.00056672  
        0.52124        0.0097061        0.00057826  
        0.52141        0.0097572        0.00058985  
        0.52158        0.0098086         0.0006015  
        0.52175        0.0098603        0.00061322  
        0.52192        0.0099123        0.00062499  
        0.52208        0.0099645        0.00063683  
        0.52225         0.010017        0.00064874  
        0.52242          0.01007         0.0006607  
        0.52259         0.010123        0.00067273  
        0.52276         0.010176        0.00068482  
        0.52293          0.01023        0.00069697  
        0.52309         0.010284        0.00070919  
        0.52326         0.010338        0.00072148  
        0.52343         0.010393        0.00073382  
         0.5236         0.010448        0.00074624  
        0.52377         0.010503        0.00075872  
        0.52393         0.010558        0.00077126  
         0.5241         0.010614        0.00078387  
        0.52427          0.01067        0.00079655  
