#rexpnt pdf cdf
#  x      p(x)     cdf(x) 
            0.2       2.4696e-05                 0  
        0.20324       2.8405e-05        9.8037e-08  
        0.20654       3.2673e-05        2.1263e-07  
        0.20989       3.7586e-05        3.4659e-07  
         0.2133       4.3241e-05         5.032e-07  
        0.21676       4.9748e-05        6.8629e-07  
        0.22028       5.7234e-05        9.0035e-07  
        0.22385       6.5847e-05        1.1506e-06  
        0.22748       7.5754e-05        1.4432e-06  
        0.23117       8.7147e-05        1.7853e-06  
        0.23492       0.00010025        2.1852e-06  
        0.23874        0.0001153        2.6526e-06  
        0.24261        0.0001326         3.199e-06  
        0.24654       0.00015248        3.8374e-06  
        0.25055        0.0001753        4.5834e-06  
        0.25461        0.0002015        5.4548e-06  
        0.25874       0.00023156        6.4727e-06  
        0.26294       0.00026604        7.6611e-06  
        0.26721       0.00030557        9.0486e-06  
        0.27154       0.00035086        1.0668e-05  
        0.27595       0.00040275        1.2557e-05  
        0.28042       0.00046213         1.476e-05  
        0.28497       0.00053007        1.7328e-05  
         0.2896       0.00060776        2.0321e-05  
        0.29429       0.00069651        2.3808e-05  
        0.29907       0.00079787        2.7868e-05  
        0.30392       0.00091351        3.2593e-05  
        0.30885        0.0010454        3.8088e-05  
        0.31386        0.0011956        4.4477e-05  
        0.31896        0.0013666        5.1901e-05  
        0.32413        0.0015612        6.0522e-05  
        0.32939        0.0017823        7.0526e-05  
        0.33473        0.0020334        8.2128e-05  
        0.34017        0.0023182        9.5574e-05  
        0.34568         0.002641        0.00011115  
        0.35129        0.0030065        0.00012917  
        0.35699        0.0034199        0.00015001  
        0.36278        0.0038869        0.00017409  
        0.36867         0.004414        0.00020189  
        0.37465        0.0050083        0.00023395  
        0.38073        0.0056774        0.00027091  
        0.38691        0.0064299        0.00031346  
        0.39319        0.0072753        0.00036241  
        0.39956        0.0082236        0.00041866  
        0.40605        0.0092862        0.00048325  
        0.41264         0.010475        0.00055732  
        0.41933         0.011804        0.00064218  
        0.42613         0.013286         0.0007393  
        0.43305         0.014938        0.00085032  
        0.44007         0.016776         0.0009771  
        0.44721         0.018818         0.0011217  
        0.45447         0.021084         0.0012864  
        0.46184         0.023593         0.0014739  
        0.46934         0.026368         0.0016869  
        0.47695         0.029432         0.0019286  
        0.48469          0.03281         0.0022026  
        0.49255         0.036527         0.0025129  
        0.50054         0.040611         0.0028636  
        0.50867         0.045091         0.0032596  
        0.51692         0.049996         0.0037061  
        0.52531         0.055358         0.0042088  
        0.53383         0.061208         0.0047741  
        0.54249         0.067579         0.0054087  
        0.55129         0.074505         0.0061202  
        0.56024          0.08202         0.0069168  
        0.56933          0.09016         0.0078072  
        0.57856         0.098959         0.0088011  
        0.58795          0.10845         0.0099089  
        0.59749          0.11867          0.011142  
        0.60718          0.12966          0.012511  
        0.61703          0.14144          0.014031  
        0.62704          0.15405          0.015714  
        0.63722          0.16751          0.017575  
        0.64756          0.18186           0.01963  
        0.65806          0.19712          0.021896  
        0.66874          0.21331          0.024389  
        0.67959          0.23044          0.027128  
        0.69062          0.24854          0.030133  
        0.70182          0.26761          0.033424  
        0.71321          0.28765          0.037021  
        0.72478          0.30866          0.040947  
        0.73654          0.33063          0.045224  
        0.74849          0.35354          0.049876  
        0.76063          0.37736          0.054926  
        0.77297          0.40206          0.060399  
        0.78552           0.4276          0.066319  
        0.79826          0.45391          0.072711  
        0.81121          0.48094          0.079599  
        0.82437          0.50861           0.08701  
        0.83775          0.53684          0.094965  
        0.85134          0.56551           0.10349  
        0.86515          0.59453           0.11261  
        0.87919          0.62378           0.12234  
        0.89345          0.65311            0.1327  
        0.90795          0.68238           0.14371  
        0.92268          0.71145            0.1554  
        0.93765          0.74014           0.16776  
        0.95286          0.76828           0.18082  
        0.96832          0.79569           0.19457  
        0.98403          0.82219           0.20903  
              1          0.84758            0.2242  
         1.0162          0.87166           0.24007  
         1.0327          0.89424           0.25664  
         1.0495          0.91512           0.27389  
         1.0665          0.93412            0.2918  
         1.0838          0.95104           0.31036  
         1.1014          0.96571           0.32954  
         1.1193          0.97796            0.3493  
         1.1374          0.98764           0.36961  
         1.1559          0.99462           0.39042  
         1.1746          0.99877           0.41169  
         1.1937                1           0.43336  
          1.213          0.99824           0.45538  
         1.2327          0.99345           0.47768  
         1.2527           0.9856            0.5002  
         1.2731           0.9747           0.52287  
         1.2937           0.9608           0.54562  
         1.3147          0.94396           0.56837  
          1.336          0.92427           0.59104  
         1.3577          0.90188           0.61356  
         1.3797          0.87693           0.63586  
         1.4021           0.8496           0.65784  
         1.4249           0.8201           0.67946  
          1.448          0.78867           0.70062  
         1.4715          0.75554           0.72126  
         1.4953          0.72098           0.74131  
         1.5196          0.68527           0.76072  
         1.5443          0.64868           0.77944  
         1.5693           0.6115            0.7974  
         1.5948          0.57402           0.81458  
         1.6207          0.53652           0.83092  
          1.647          0.49926           0.84642  
         1.6737          0.46251           0.86104  
         1.7008           0.4265           0.87478  
         1.7284          0.39147           0.88762  
         1.7565           0.3576           0.89957  
          1.785          0.32509           0.91064  
         1.8139          0.29407           0.92084  
         1.8434          0.26467            0.9302  
         1.8733          0.23699           0.93873  
         1.9037           0.2111           0.94648  
         1.9345          0.18703           0.95348  
         1.9659          0.16481           0.95976  
         1.9978          0.14442           0.96537  
         2.0302          0.12585           0.97036  
         2.0632          0.10903           0.97476  
         2.0967         0.093911           0.97863  
         2.1307         0.080406             0.982  
         2.1652         0.068425           0.98493  
         2.2004         0.057871           0.98745  
         2.2361         0.048637           0.98961  
         2.2723         0.040615           0.99146  
         2.3092         0.033695           0.99302  
         2.3467         0.027769           0.99433  
         2.3848         0.022731           0.99542  
         2.4234         0.018479           0.99633  
         2.4628         0.014918           0.99707  
         2.5027         0.011958           0.99768  
         2.5433        0.0095152           0.99818  
         2.5846        0.0075161           0.99858  
         2.6265        0.0058925            0.9989  
         2.6691        0.0045846           0.99915  
         2.7124        0.0035393           0.99935  
         2.7565        0.0027109           0.99951  
         2.8012        0.0020597           0.99963  
         2.8466        0.0015523           0.99973  
         2.8928        0.0011602            0.9998  
         2.9397       0.00085979           0.99985  
         2.9874       0.00063175           0.99989  
         3.0359       0.00046015           0.99992  
         3.0852       0.00033221           0.99994  
         3.1352       0.00023768           0.99996  
         3.1861        0.0001685           0.99997  
         3.2378       0.00011835           0.99998  
         3.2903       8.2338e-05           0.99999  
         3.3437       5.6736e-05           0.99999  
          3.398       3.8715e-05           0.99999  
         3.4531       2.6156e-05                 1  
         3.5091       1.7494e-05                 1  
          3.566       1.1581e-05                 1  
         3.6239       7.5866e-06                 1  
         3.6827       4.9177e-06                 1  
         3.7424       3.1536e-06                 1  
         3.8032       2.0003e-06                 1  
         3.8649       1.2547e-06                 1  
         3.9276       7.7824e-07                 1  
         3.9913       4.7718e-07                 1  
         4.0561        2.892e-07                 1  
         4.1219       1.7321e-07                 1  
         4.1887        1.025e-07                 1  
         4.2567       5.9919e-08                 1  
         4.3258       3.4596e-08                 1  
         4.3959       1.9724e-08                 1  
         4.4673       1.1103e-08                 1  
         4.5397       6.1687e-09                 1  
         4.6134       3.3825e-09                 1  
         4.6883         1.83e-09                 1  
         4.7643       9.7665e-10                 1  
         4.8416       5.1408e-10                 1  
         4.9202       2.6681e-10                 1  
              5       1.3652e-10                 1  
