#x pdf cdf
#  x      p(x)     cdf(x) 
         0.0012       2.7475e-10                 0  
         0.0024       4.3697e-09        2.7244e-12  
         0.0036       2.1989e-08        1.8187e-11  
         0.0048       6.9081e-08        7.1609e-11  
          0.006       1.6765e-07        2.1047e-10  
         0.0072       3.4555e-07        5.1152e-10  
         0.0084       6.3635e-07        1.0875e-09  
         0.0096       1.0791e-06        2.0938e-09  
         0.0108       1.7182e-06        3.7346e-09  
          0.012       2.6031e-06        6.2695e-09  
         0.0132       3.7884e-06        1.0019e-08  
         0.0144       5.3333e-06        1.5369e-08  
         0.0156        7.302e-06        2.2781e-08  
         0.0168       9.7628e-06        3.2792e-08  
          0.018       1.2789e-05         4.602e-08  
         0.0192       1.6456e-05        6.3175e-08  
         0.0204       2.0847e-05        8.5057e-08  
         0.0216       2.6045e-05        1.1256e-07  
         0.0228        3.214e-05         1.467e-07  
          0.024       3.9224e-05        1.8856e-07  
         0.0252       4.7391e-05        2.3937e-07  
         0.0264       5.6742e-05        3.0045e-07  
         0.0276       6.7379e-05        3.7326e-07  
         0.0288       7.9405e-05        4.5936e-07  
           0.03       9.2931e-05        5.6046e-07  
         0.0312       0.00010807        6.7836e-07  
         0.0324       0.00012492        8.1503e-07  
         0.0336       0.00014362        9.7256e-07  
         0.0348       0.00016427        1.1532e-06  
          0.036       0.00018701        1.3592e-06  
         0.0372       0.00021194        1.5933e-06  
         0.0384        0.0002392        1.8579e-06  
         0.0396       0.00026891        2.1559e-06  
         0.0408       0.00030121        2.4904e-06  
          0.042       0.00033621        2.8643e-06  
         0.0432       0.00037406        3.2809e-06  
         0.0444       0.00041489        3.7437e-06  
         0.0456       0.00045884        4.2563e-06  
         0.0468       0.00050603        4.8223e-06  
          0.048       0.00055661        5.4456e-06  
         0.0492       0.00061072        6.1304e-06  
         0.0504       0.00066849        6.8808e-06  
         0.0516       0.00073008        7.7012e-06  
         0.0528       0.00079561        8.5961e-06  
          0.054       0.00086523        9.5704e-06  
         0.0552       0.00093909        1.0629e-05  
         0.0564        0.0010173        1.1776e-05  
         0.0576        0.0011001        1.3019e-05  
         0.0588        0.0011875         1.436e-05  
           0.06        0.0012798        1.5808e-05  
         0.0612         0.001377        1.7366e-05  
         0.0624        0.0014793        1.9042e-05  
         0.0636        0.0015869         2.084e-05  
         0.0648        0.0016998        2.2768e-05  
          0.066        0.0018183        2.4832e-05  
         0.0672        0.0019426        2.7038e-05  
         0.0684        0.0020726        2.9394e-05  
         0.0696        0.0022086        3.1905e-05  
         0.0708        0.0023508        3.4579e-05  
          0.072        0.0024992        3.7424e-05  
         0.0732        0.0026541        4.0447e-05  
         0.0744        0.0028155        4.3656e-05  
         0.0756        0.0029836        4.7058e-05  
         0.0768        0.0031586        5.0661e-05  
          0.078        0.0033406        5.4473e-05  
         0.0792        0.0035297        5.8503e-05  
