#rate pdf cdf
#  x      p(x)     cdf(x) 
      0.0071971                1                 0  
       0.014394          0.99999         0.0014156  
       0.021591          0.99999         0.0028312  
       0.028788          0.99997         0.0042468  
       0.035986          0.99996         0.0056623  
       0.043183          0.99994         0.0070779  
        0.05038          0.99992         0.0084934  
       0.057577          0.99989         0.0099088  
       0.064774          0.99986          0.011324  
       0.071971          0.99983           0.01274  
       0.079168          0.99979          0.014155  
       0.086365          0.99975           0.01557  
       0.093563          0.99971          0.016986  
        0.10076          0.99966          0.018401  
        0.10796          0.99961          0.019816  
        0.11515          0.99956          0.021231  
        0.12235           0.9995          0.022646  
        0.12955          0.99944          0.024061  
        0.13675          0.99938          0.025475  
        0.14394          0.99931           0.02689  
        0.15114          0.99924          0.028305  
        0.15834          0.99917          0.029719  
        0.16553          0.99909          0.031133  
        0.17273          0.99901          0.032548  
        0.17993          0.99892          0.033962  
        0.18713          0.99884          0.035376  
        0.19432          0.99874           0.03679  
        0.20152          0.99865          0.038204  
        0.20872          0.99855          0.039617  
        0.21591          0.99845          0.041031  
        0.22311          0.99834          0.042444  
        0.23031          0.99824          0.043857  
         0.2375          0.99812           0.04527  
         0.2447          0.99801          0.046683  
         0.2519          0.99789          0.048096  
         0.2591          0.99777          0.049508  
        0.26629          0.99764          0.050921  
        0.27349          0.99751          0.052333  
        0.28069          0.99738          0.053745  
        0.28788          0.99724          0.055157  
        0.29508           0.9971          0.056568  
        0.30228          0.99696           0.05798  
        0.30948          0.99682          0.059391  
        0.31667          0.99667          0.060802  
        0.32387          0.99651          0.062213  
        0.33107          0.99636          0.063623  
        0.33826           0.9962          0.065033  
        0.34546          0.99603          0.066444  
        0.35266          0.99587          0.067853  
        0.35986           0.9957          0.069263  
        0.36705          0.99552          0.070672  
        0.37425          0.99535          0.072082  
        0.38145          0.99517           0.07349  
        0.38864          0.99498          0.074899  
        0.39584          0.99479          0.076307  
        0.40304           0.9946          0.077716  
        0.41024          0.99441          0.079123  
        0.41743          0.99421          0.080531  
        0.42463          0.99401          0.081938  
        0.43183          0.99381          0.083345  
        0.43902           0.9936          0.084752  
        0.44622          0.99339          0.086158  
        0.45342          0.99318          0.087564  
        0.46062          0.99296           0.08897  
        0.46781          0.99274          0.090376  
        0.47501          0.99251          0.091781  
        0.48221          0.99229          0.093186  
         0.4894          0.99205           0.09459  
         0.4966          0.99182          0.095994  
         0.5038          0.99158          0.097398  
          0.511          0.99134          0.098802  
        0.51819           0.9911            0.1002  
        0.52539          0.99085           0.10161  
        0.53259           0.9906           0.10301  
        0.53978          0.99034           0.10441  
        0.54698          0.99009           0.10581  
        0.55418          0.98982           0.10722  
        0.56138          0.98956           0.10862  
        0.56857          0.98929           0.11002  
        0.57577          0.98902           0.11142  
        0.58297          0.98875           0.11282  
        0.59016          0.98847           0.11422  
        0.59736          0.98819           0.11562  
        0.60456           0.9879           0.11701  
        0.61176          0.98762           0.11841  
        0.61895          0.98733           0.11981  
        0.62615          0.98703           0.12121  
        0.63335          0.98673           0.12261  
        0.64054          0.98643             0.124  
        0.64774          0.98613            0.1254  
        0.65494          0.98582           0.12679  
        0.66214          0.98551           0.12819  
        0.66933           0.9852           0.12958  
        0.67653          0.98488           0.13098  
        0.68373          0.98456           0.13237  
        0.69092          0.98423           0.13377  
        0.69812          0.98391           0.13516  
        0.70532          0.98358           0.13655  
        0.71251          0.98324           0.13794  
        0.71971          0.98291           0.13934  
        0.72691          0.98257           0.14073  
        0.73411          0.98222           0.14212  
         0.7413          0.98188           0.14351  
         0.7485          0.98153            0.1449  
         0.7557          0.98117           0.14629  
        0.76289          0.98082           0.14767  
        0.77009          0.98046           0.14906  
        0.77729          0.98009           0.15045  
        0.78449          0.97973           0.15184  
        0.79168          0.97936           0.15322  
        0.79888          0.97899           0.15461  
        0.80608          0.97861             0.156  
        0.81327          0.97823           0.15738  
        0.82047          0.97785           0.15877  
        0.82767          0.97746           0.16015  
        0.83487          0.97708           0.16153  
        0.84206          0.97668           0.16292  
        0.84926          0.97629            0.1643  
        0.85646          0.97589           0.16568  
        0.86365          0.97549           0.16706  
        0.87085          0.97509           0.16844  
        0.87805          0.97468           0.16982  
        0.88525          0.97427            0.1712  
        0.89244          0.97385           0.17258  
        0.89964          0.97344           0.17396  
        0.90684          0.97302           0.17534  
        0.91403          0.97259           0.17671  
        0.92123          0.97217           0.17809  
        0.92843          0.97174           0.17947  
        0.93563          0.97131           0.18084  
        0.94282          0.97087           0.18222  
        0.95002          0.97043           0.18359  
        0.95722          0.96999           0.18496  
        0.96441          0.96955           0.18634  
        0.97161           0.9691           0.18771  
        0.97881          0.96865           0.18908  
        0.98601          0.96819           0.19045  
         0.9932          0.96773           0.19182  
         1.0004          0.96727           0.19319  
         1.0076          0.96681           0.19456  
         1.0148          0.96634           0.19593  
