#stdev pdf cdf
#  x      p(x)     cdf(x) 
       0.029067          0.20858                 0  
       0.031043          0.26469         0.0059921  
        0.03302          0.32552          0.013465  
       0.034996           0.3896          0.022519  
       0.036973          0.45543          0.033218  
       0.038949          0.52152          0.045587  
       0.040926          0.58647          0.059615  
       0.042903          0.64901          0.075258  
       0.044879          0.70807           0.09244  
       0.046856          0.76277           0.11106  
       0.048832          0.81241           0.13101  
       0.050809          0.85649           0.15214  
       0.052785          0.89469           0.17431  
       0.054762          0.92685           0.19737  
       0.056738          0.95295           0.22117  
       0.058715          0.97308           0.24555  
       0.060691          0.98744           0.27038  
       0.062668           0.9963           0.29549  
       0.064645                1           0.32077  
       0.066621           0.9989           0.34608  
       0.068598          0.99342            0.3713  
       0.070574          0.98396           0.39634  
       0.072551          0.97095           0.42109  
       0.074527          0.95481           0.44547  
       0.076504          0.93595           0.46941  
        0.07848          0.91475           0.49284  
       0.080457           0.8916           0.51571  
       0.082433          0.86683           0.53797  
        0.08441          0.84077           0.55959  
       0.086386          0.81372           0.58054  
       0.088363          0.78595            0.6008  
        0.09034           0.7577           0.62034  
       0.092316          0.72919           0.63916  
       0.094293          0.70062           0.65727  
       0.096269          0.67216           0.67465  
       0.098246          0.64395           0.69131  
        0.10022          0.61612           0.70727  
         0.1022          0.58879           0.72252  
        0.10418          0.56203           0.73709  
        0.10615          0.53593           0.75099  
        0.10813          0.51056           0.76424  
         0.1101          0.48595           0.77686  
        0.11208          0.46214           0.78886  
        0.11406          0.43916           0.80027  
        0.11603          0.41702           0.81111  
        0.11801          0.39575            0.8214  
        0.11999          0.37533           0.83117  
        0.12196          0.35576           0.84042  
        0.12394          0.33704            0.8492  
        0.12592          0.31916            0.8575  
        0.12789          0.30209           0.86537  
        0.12987          0.28583           0.87281  
        0.13185          0.27034           0.87985  
        0.13382           0.2556           0.88651  
         0.1358           0.2416           0.89281  
        0.13778           0.2283           0.89876  
        0.13975          0.21568           0.90438  
        0.14173          0.20372           0.90969  
        0.14371          0.19238            0.9147  
        0.14568          0.18164           0.91944  
        0.14766          0.17148           0.92391  
        0.14964          0.16186           0.92813  
        0.15161          0.15276           0.93211  
        0.15359          0.14417           0.93587  
        0.15557          0.13604           0.93942  
        0.15754          0.12837           0.94277  
        0.15952          0.12112           0.94593  
         0.1615          0.11428           0.94891  
        0.16347          0.10782           0.95172  
        0.16545          0.10172           0.95437  
        0.16742         0.095973           0.95688  
         0.1694         0.090549           0.95924  
        0.17138         0.085434           0.96147  
        0.17335          0.08061           0.96357  
        0.17533         0.076062           0.96555  
        0.17731         0.071774           0.96742  
        0.17928         0.067731           0.96919  
        0.18126          0.06392           0.97086  
        0.18324         0.060328           0.97243  
        0.18521         0.056942           0.97391  
        0.18719          0.05375           0.97532  
