#stdev pdf cdf
#  x      p(x)     cdf(x) 
         0.0436       6.2139e-30                 0  
       0.043862       1.6569e-29        2.9289e-32  
       0.044123       4.3387e-29        1.0637e-31  
       0.044385       1.1161e-28        3.0562e-31  
       0.044647       2.8219e-28        8.1187e-31  
       0.044908       7.0149e-28        2.0764e-30  
        0.04517       1.7153e-27        5.1833e-30  
       0.045431        4.127e-27        1.2694e-29  
       0.045693       9.7745e-27        3.0565e-29  
       0.045955       2.2797e-26        7.2436e-29  
       0.046216       5.2373e-26        1.6907e-28  
       0.046478       1.1857e-25        3.8882e-28  
       0.046739       2.6459e-25        8.8138e-28  
       0.047001       5.8221e-25          1.97e-27  
       0.047263       1.2636e-24        4.3429e-27  
       0.047524        2.706e-24        9.4461e-27  
       0.047786       5.7193e-24        2.0277e-26  
       0.048047       1.1934e-23        4.2971e-26  
       0.048309       2.4589e-23        8.9922e-26  
       0.048571       5.0047e-23        1.8587e-25  
       0.048832       1.0065e-22        3.7959e-25  
       0.049094       2.0003e-22        7.6613e-25  
       0.049355       3.9301e-22        1.5285e-24  
       0.049617       7.6351e-22        3.0153e-24  
       0.049879        1.467e-21        5.8827e-24  
        0.05014       2.7885e-21        1.1353e-23  
       0.050402       5.2446e-21         2.168e-23  
       0.050663       9.7625e-21        4.0973e-23  
       0.050925       1.7989e-20        7.6649e-23  
       0.051187       3.2821e-20        1.4197e-22  
       0.051448       5.9302e-20        2.6039e-22  
        0.05171       1.0613e-19        4.7307e-22  
       0.051971       1.8818e-19        8.5142e-22  
       0.052233       3.3063e-19        1.5184e-21  
       0.052495       5.7574e-19        2.6836e-21  
       0.052756       9.9378e-19        4.7012e-21  
       0.053018       1.7007e-18        8.1651e-21  
       0.053279        2.886e-18        1.4061e-20  
       0.053541       4.8572e-18        2.4016e-20  
       0.053803       8.1088e-18        4.0684e-20  
       0.054064        1.343e-17        6.8373e-20  
       0.054326       2.2071e-17        1.1401e-19  
       0.054587       3.5996e-17        1.8866e-19  
       0.054849       5.8268e-17        3.0984e-19  
       0.055111       9.3631e-17        5.0511e-19  
       0.055372       1.4938e-16        8.1751e-19  
       0.055634       2.3664e-16        1.3137e-18  
       0.055895       3.7228e-16        2.0965e-18  
       0.056157       5.8171e-16        3.3229e-18  
       0.056419       9.0293e-16        5.2315e-18  
        0.05668       1.3924e-15        8.1822e-18  
       0.056942       2.1334e-15        1.2715e-17  
       0.057203       3.2482e-15        1.9633e-17  
       0.057465        4.915e-15        3.0127e-17  
       0.057727       7.3923e-15        4.5949e-17  
       0.057988       1.1052e-14         6.966e-17  
