#t pdf cdf
#  x      p(x)     cdf(x) 
        0.33333       5.9393e-19                 0  
        0.33413       6.8152e-19        1.1687e-22  
        0.33493       7.8174e-19        2.5127e-22  
        0.33574       8.9637e-19        4.0577e-22  
        0.33654       1.0274e-18        5.8332e-22  
        0.33735       1.1772e-18        7.8727e-22  
        0.33816       1.3483e-18        1.0215e-21  
        0.33897       1.5438e-18        1.2903e-21  
        0.33978       1.7669e-18        1.5988e-21  
         0.3406       2.0215e-18        1.9527e-21  
        0.34142       2.3121e-18        2.3584e-21  
        0.34223       2.6433e-18        2.8235e-21  
        0.34305        3.021e-18        3.3563e-21  
        0.34388       3.4514e-18        3.9667e-21  
         0.3447       3.9417e-18        4.6656e-21  
        0.34553       4.5001e-18        5.4655e-21  
        0.34636       5.1357e-18        6.3807e-21  
        0.34719       5.8589e-18        7.4275e-21  
        0.34802       6.6817e-18        8.6243e-21  
        0.34886       7.6173e-18        9.9923e-21  
        0.34969       8.6808e-18        1.1555e-20  
        0.35053       9.8894e-18         1.334e-20  
        0.35137       1.1262e-17        1.5378e-20  
        0.35222       1.2821e-17        1.7705e-20  
        0.35306       1.4591e-17        2.0359e-20  
        0.35391       1.6599e-17        2.3386e-20  
        0.35476       1.8876e-17        2.6837e-20  
        0.35561       2.1459e-17         3.077e-20  
        0.35646       2.4387e-17        3.5252e-20  
        0.35731       2.7705e-17        4.0356e-20  
        0.35817       3.1463e-17        4.6168e-20  
        0.35903       3.5719e-17        5.2782e-20  
        0.35989       4.0536e-17        6.0308e-20  
        0.36075       4.5987e-17        6.8868e-20  
        0.36162       5.2154e-17          7.86e-20  
        0.36249       5.9127e-17        8.9662e-20  
        0.36336        6.701e-17        1.0223e-19  
        0.36423       7.5918e-17        1.1651e-19  
         0.3651       8.5981e-17        1.3272e-19  
        0.36598       9.7345e-17        1.5112e-19  
        0.36686       1.1017e-16        1.7199e-19  
        0.36774       1.2465e-16        1.9567e-19  
        0.36862       1.4098e-16        2.2253e-19  
         0.3695        1.594e-16        2.5296e-19  
        0.37039       1.8017e-16        2.8745e-19  
        0.37128       2.0357e-16        3.2652e-19  
        0.37217       2.2994e-16        3.7077e-19  
        0.37306       2.5963e-16        4.2085e-19  
        0.37395       2.9307e-16        4.7753e-19  
        0.37485       3.3069e-16        5.4165e-19  
        0.37575       3.7303e-16        6.1417e-19  
        0.37665       4.2065e-16        6.9615e-19  
        0.37755        4.742e-16         7.888e-19  
        0.37846       5.3438e-16        8.9347e-19  
        0.37937       6.0201e-16        1.0117e-18  
        0.38028       6.7797e-16        1.1452e-18  
        0.38119       7.6327e-16        1.2958e-18  
         0.3821       8.5903e-16        1.4658e-18  
        0.38302       9.6649e-16        1.6576e-18  
        0.38394        1.087e-15        1.8738e-18  
        0.38486       1.2222e-15        2.1175e-18  
        0.38578       1.3738e-15        2.3922e-18  
        0.38671       1.5437e-15        2.7015e-18  
        0.38764        1.734e-15          3.05e-18  
        0.38857       1.9471e-15        3.4422e-18  
         0.3895       2.1858e-15        3.8837e-18  
        0.39043        2.453e-15        4.3803e-18  
        0.39137       2.7519e-15        4.9389e-18  
        0.39231       3.0863e-15         5.567e-18  
        0.39325       3.4602e-15         6.273e-18  
        0.39419       3.8783e-15        7.0663e-18  
        0.39514       4.3454e-15        7.9574e-18  
        0.39608       4.8673e-15        8.9581e-18  
        0.39703       5.4502e-15        1.0081e-17  
        0.39799        6.101e-15        1.1342e-17  
        0.39894       6.8275e-15        1.2757e-17  
         0.3999        7.638e-15        1.4343e-17  
        0.40086       8.5421e-15        1.6122e-17  
        0.40182       9.5503e-15        1.8115e-17  
        0.40278       1.0674e-14        2.0349e-17  
        0.40375       1.1927e-14        2.2852e-17  
        0.40472       1.3322e-14        2.5654e-17  
        0.40569       1.4876e-14        2.8791e-17  
        0.40666       1.6607e-14        3.2302e-17  
        0.40764       1.8533e-14         3.623e-17  
        0.40861       2.0676e-14        4.0624e-17  
        0.40959        2.306e-14        4.5536e-17  
        0.41058       2.5712e-14        5.1028e-17  
        0.41156       2.8659e-14        5.7164e-17  
        0.41255       3.1935e-14        6.4019e-17  
        0.41354       3.5574e-14        7.1675e-17  
        0.41453       3.9617e-14        8.0223e-17  
        0.41552       4.4106e-14        8.9763e-17  
        0.41652       4.9089e-14        1.0041e-16  
        0.41752       5.4618e-14        1.1228e-16  
        0.41852       6.0753e-14        1.2552e-16  
        0.41953       6.7557e-14        1.4028e-16  
        0.42053         7.51e-14        1.5674e-16  
        0.42154       8.3461e-14        1.7507e-16  
        0.42255       9.2726e-14        1.9548e-16  
        0.42356       1.0299e-13        2.1822e-16  
        0.42458       1.1436e-13        2.4352e-16  
         0.4256       1.2694e-13        2.7168e-16  
        0.42662       1.4087e-13        3.0302e-16  
        0.42764       1.5628e-13        3.3786e-16  
        0.42867       1.7332e-13        3.7661e-16  
         0.4297       1.9217e-13        4.1968e-16  
        0.43073       2.1301e-13        4.6754e-16  
        0.43176       2.3605e-13        5.2071e-16  
         0.4328       2.6149e-13        5.7976e-16  
        0.43383        2.896e-13        6.4532e-16  
        0.43487       3.2064e-13         7.181e-16  
        0.43592        3.549e-13        7.9885e-16  
        0.43696       3.9271e-13        8.8844e-16  
        0.43801       4.3443e-13        9.8779e-16  
        0.43906       4.8045e-13        1.0979e-15  
        0.44011       5.3119e-13          1.22e-15  
        0.44117       5.8713e-13        1.3553e-15  
        0.44223       6.4877e-13        1.5052e-15  
        0.44329       7.1669e-13        1.6712e-15  
        0.44435        7.915e-13         1.855e-15  
        0.44542       8.7387e-13        2.0584e-15  
        0.44649       9.6455e-13        2.2835e-15  
        0.44756       1.0643e-12        2.5325e-15  
        0.44863       1.1741e-12        2.8079e-15  
        0.44971       1.2949e-12        3.1124e-15  
        0.45079       1.4277e-12         3.449e-15  
        0.45187       1.5737e-12        3.8209e-15  
        0.45295       1.7341e-12        4.2318e-15  
        0.45404       1.9104e-12        4.6855e-15  
        0.45513        2.104e-12        5.1866e-15  
        0.45622       2.3166e-12        5.7396e-15  
        0.45731         2.55e-12        6.3499e-15  
        0.45841       2.8061e-12        7.0232e-15  
        0.45951       3.0872e-12        7.7659e-15  
        0.46061       3.3955e-12        8.5847e-15  
        0.46172       3.7336e-12        9.4874e-15  
        0.46282       4.1042e-12        1.0482e-14  
        0.46393       4.5105e-12        1.1578e-14  
        0.46505       4.9556e-12        1.2785e-14  
        0.46616       5.4432e-12        1.4115e-14  
        0.46728       5.9772e-12        1.5578e-14  
         0.4684       6.5619e-12        1.7189e-14  
        0.46952       7.2019e-12        1.8961e-14  
        0.47065       7.9022e-12         2.091e-14  
        0.47178       8.6683e-12        2.3054e-14  
        0.47291       9.5063e-12        2.5411e-14  
        0.47404       1.0422e-11        2.8002e-14  
        0.47518       1.1424e-11        3.0849e-14  
        0.47632       1.2519e-11        3.3976e-14  
        0.47746       1.3714e-11        3.7411e-14  
        0.47861       1.5021e-11        4.1182e-14  
        0.47976       1.6447e-11        4.5322e-14  
        0.48091       1.8004e-11        4.9866e-14  
        0.48206       1.9704e-11        5.4851e-14  
        0.48322       2.1558e-11        6.0318e-14  
        0.48438       2.3581e-11        6.6314e-14  
        0.48554       2.5787e-11        7.2888e-14  
         0.4867       2.8193e-11        8.0092e-14  
        0.48787       3.0815e-11        8.7987e-14  
        0.48904       3.3672e-11        9.6635e-14  
        0.49021       3.6785e-11        1.0611e-13  
        0.49139       4.0176e-11        1.1648e-13  
        0.49257       4.3868e-11        1.2783e-13  
        0.49375       4.7888e-11        1.4025e-13  
        0.49493       5.2263e-11        1.5385e-13  
        0.49612       5.7023e-11        1.6872e-13  
        0.49731       6.2202e-11        1.8498e-13  
         0.4985       6.7834e-11        2.0275e-13  
         0.4997       7.3958e-11        2.2218e-13  
         0.5009       8.0614e-11        2.4341e-13  
         0.5021       8.7848e-11        2.6661e-13  
         0.5033       9.5708e-11        2.9194e-13  
        0.50451       1.0424e-10        3.1961e-13  
        0.50572       1.1352e-10        3.4981e-13  
        0.50693       1.2358e-10        3.8277e-13  
        0.50815       1.3451e-10        4.1873e-13  
        0.50937       1.4636e-10        4.5797e-13  
